Threshold,Precision,Recall,F1
1.8000603e-05,0.3173736066634452,1.0,0.48182778620884736
1.8119812e-05,0.3177327178360296,1.0,0.4822415215531723
1.8239021e-05,0.3184376823265484,1.0,0.48305306224160693
1.835823e-05,0.3339710939317941,1.0,0.5007171338980818
1.847744e-05,0.33584379116688623,1.0,0.5028189536434124
1.859665e-05,0.33815316415930746,1.0,0.5054027755406277
1.8715858e-05,0.33917130553513286,1.0,0.5065390836863916
1.8835068e-05,0.3583576085448745,1.0,0.5276336712106213
1.8954277e-05,0.36070258396008636,1.0,0.5301710830289883
1.9073486e-05,0.3611968122291094,1.0,0.5307047538321606
1.9192696e-05,0.3633133320832552,1.0,0.5329858087181667
1.9311905e-05,0.36856922740372267,1.0,0.5386197750622042
1.9431114e-05,0.3894220623260208,1.0,0.5605525780572815
1.9550323e-05,0.3953417194625532,1.0,0.5666593510606579
1.9669533e-05,0.3984350901725308,1.0,0.5698299336499408
1.9788742e-05,0.40753633552783797,1.0,0.5790775304988781
1.9907951e-05,0.4109898501384072,1.0,0.5825553559939719
2.002716e-05,0.4118634880482957,1.0,0.5834324474251789
2.014637e-05,0.4187939046795634,1.0,0.5903519888921268
2.026558e-05,0.42363783452859893,1.0,0.5951483183124788
2.0384789e-05,0.4243754996550327,1.0,0.595875872308155
2.0503998e-05,0.42552654118990624,1.0,0.5970096324543566
2.0623207e-05,0.4270223809051539,1.0,0.5984802812159037
2.0742416e-05,0.4290934458359632,1.0,0.6005113858490948
2.0861626e-05,0.4304662245476056,1.0,0.601854436198899
2.0980835e-05,0.4321560405491307,1.0,0.6035041228690539
2.1100044e-05,0.43245505373464127,1.0,0.6037956298708055
2.1219254e-05,0.4326530156532613,1.0,0.6039885553670333
2.1338463e-05,0.4331462934811768,1.0,0.6044690516649207
2.1457672e-05,0.43817632891210695,1.0,0.6093499344364972
2.1576881e-05,0.4393188749192241,1.0,0.6104538466385496
2.169609e-05,0.4398424553358607,1.0,0.6109591374404452
2.18153e-05,0.4401522035438437,1.0,0.6112578926094798
2.193451e-05,0.4405224745924562,1.0,0.6116148540605199
2.2053719e-05,0.4407629836893469,1.0,0.6118466196312965
2.2172928e-05,0.4408783207235906,1.0,0.6119577362263297
2.2292137e-05,0.4417578659370725,1.0,0.6128045122000133
2.2411346e-05,0.4432890627681115,1.0,0.6142761989016088
2.2530556e-05,0.4442495528958591,1.0,0.6151977667974448
2.2649765e-05,0.4450454796030871,1.0,0.615960511700332
2.2768974e-05,0.44554694506404213,1.0,0.616440639998862
2.2888184e-05,0.4462395928096823,1.0,0.6171032682865968
2.3007393e-05,0.4466768102911681,1.0,0.6175212100257015
2.3126602e-05,0.4473058454150891,1.0,0.6181220696945239
2.3245811e-05,0.44819051364198886,1.0,0.6189662289943105
2.336502e-05,0.448584823754124,1.0,0.6193421514590629
2.348423e-05,0.4490422610287727,1.0,0.6197780009688294
2.360344e-05,0.4493442641960134,1.0,0.6200656009701706
2.3722649e-05,0.4495632098564915,1.0,0.6202740297191023
2.3841858e-05,0.4504568386301816,1.0,0.6211240810860319
2.3961067e-05,0.45079221051162144,1.0,0.6214428284605079
2.4080276e-05,0.4515117972618701,1.0,0.6221262479615668
2.4199486e-05,0.45188035683050554,1.0,0.6224760209644169
2.4318695e-05,0.45237622722125587,1.0,0.6229463352922382
2.4437904e-05,0.45273033156529663,1.0,0.6232819933773615
2.4557114e-05,0.453122076707203,1.0,0.6236531408506557
2.4676323e-05,0.45372690443294383,1.0,0.6242257743572553
2.4795532e-05,0.454365312009005,1.0,0.6248296836194664
2.4914742e-05,0.45495744056354565,1.0,0.6253893409560918
2.503395e-05,0.4553691038567299,1.0,0.6257781610467206
2.515316e-05,0.4558029570556477,1.0,0.6261877017293163
2.527237e-05,0.4563665912945167,1.0,0.6267193862985698
2.5391579e-05,0.4568669755597213,1.0,0.6271910614876007
2.5510788e-05,0.4573144826283988,1.0,0.627612618884467
2.5629997e-05,0.4576709578363057,1.0,0.6279482378875251
2.5749207e-05,0.45825006208389013,1.0,0.6284931108270544
2.5868416e-05,0.4591513916371435,1.0,0.6293403016602436
2.5987625e-05,0.4598924769466301,1.0,0.6300360897239724
2.6106834e-05,0.460460805399432,1.0,0.630569201917954
2.6226044e-05,0.4609427969881883,1.0,0.6310210020314848
2.6345253e-05,0.46157419539271505,1.0,0.6316123994110764
2.6464462e-05,0.4621907874335059,1.0,0.6321894355302484
2.6583672e-05,0.46277034047075966,1.0,0.6327313652779842
2.670288e-05,0.46339013452914796,1.0,0.633310448702312
2.682209e-05,0.4638782814800627,1.0,0.6337661869567803
2.69413e-05,0.46452888995444735,1.0,0.6343731284085907
2.7060509e-05,0.46510874261846463,1.0,0.6349136086822432
2.7179718e-05,0.4656117078797491,1.0,0.6353820758929709
2.7298927e-05,0.46618305182618736,1.0,0.6359138418166398
2.7418137e-05,0.46685139449430757,1.0,0.6365353614741271
2.7537346e-05,0.4674934552605228,1.0,0.63713190733361
2.7656555e-05,0.46807508334541237,1.0,0.6376718540722256
2.7775764e-05,0.46870917799603273,1.0,0.6382600201957732
2.7894974e-05,0.4693165715946663,1.0,0.6388229432289011
2.8014183e-05,0.46992554146152166,1.0,0.639386860095442
2.8133392e-05,0.47047896558004004,1.0,0.6398989355076723
2.8252602e-05,0.47090204275072606,1.0,0.6402901428685815
2.8371811e-05,0.47162991090988754,1.0,0.6409626553641768
2.849102e-05,0.4722967043681747,1.0,0.6415781544019236
2.861023e-05,0.4729249807783839,1.0,0.6421575894757021
2.8729439e-05,0.47357808031676973,1.0,0.6427593941967017
2.8848648e-05,0.474320056794536,1.0,0.6434424484580228
2.8967857e-05,0.47494791028312294,1.0,0.6440199057224402
2.9087067e-05,0.47558326481020113,1.0,0.6446037616838313
2.9206276e-05,0.4762612917101948,1.0,0.6452262768907694
2.9325485e-05,0.47712329779113005,1.0,0.6460168833225084
2.9444695e-05,0.4779884298947836,1.0,0.6468094296174753
2.9563904e-05,0.4795263021123362,1.0,0.6482159839762649
2.9683113e-05,0.48029300215661486,1.0,0.6489161243244455
2.9802322e-05,0.48093080980452996,1.0,0.6494980094586845
2.9921532e-05,0.48146859663291297,1.0,0.6499882541921648
3.0040741e-05,0.4820555562466568,1.0,0.650522918607532
3.015995e-05,0.48260788342985245,1.0,0.6510256495578093
3.027916e-05,0.4836921924733196,1.0,0.652011504363241
3.0398369e-05,0.48478744964595794,1.0,0.6530058514389039
3.0517578e-05,0.4858145803297185,1.0,0.6539370167604976
3.0636787e-05,0.4867849157098711,1.0,0.654815511365847
3.0755997e-05,0.4876854730112385,1.0,0.6556298069456316
3.0875206e-05,0.4887064431917067,1.0,0.6565517898359966
3.0994415e-05,0.48938534786507204,1.0,0.6571641721610196
3.1113625e-05,0.4901715239829994,1.0,0.6578726177554155
3.1232834e-05,0.4909229112560968,1.0,0.6585490158572331
3.1352043e-05,0.49192002538876545,1.0,0.6594455650708929
3.1471252e-05,0.4931344727096881,1.0,0.6605359107570338
3.159046e-05,0.49400201420139467,1.0,0.6613137147059208
3.170967e-05,0.49506228042159056,1.0,0.6622630824057353
3.182888e-05,0.49607629776611406,1.0,0.6631697797645588
3.194809e-05,0.49694148424575846,1.0,0.6639424268162798
3.20673e-05,0.49778411499479747,1.0,0.6646940726475206
3.2186508e-05,0.4985911143706334,1.0,0.6654131420670569
3.2305717e-05,0.5001355170945135,1.0,0.666787110979478
3.2424927e-05,0.5013065976714101,1.0,0.6678270715786134
3.2544136e-05,0.5025287892934952,1.0,0.6689106918014344
3.2663345e-05,0.5032335982546361,1.0,0.6695347888595001
3.2782555e-05,0.5039534944208911,1.0,0.670171641529493
3.2901764e-05,0.5051293749592648,1.0,0.6712105683498244
3.3020973e-05,0.505867916400141,1.0,0.6718622629933366
3.3140182e-05,0.5066549866638774,1.0,0.6725560765878614
3.325939e-05,0.5076505882044698,1.0,0.673432675726132
3.33786e-05,0.5087502789848889,1.0,0.6743995778482126
3.349781e-05,0.5094927555286755,1.0,0.6750516029803347
3.361702e-05,0.5101433630415608,1.0,0.6756224238683874
3.373623e-05,0.511119025007914,1.0,0.6764775152279611
3.385544e-05,0.5117940725870358,1.0,0.6770684956131533
3.3974648e-05,0.5125319084211779,1.0,0.6777138415117516
3.4093857e-05,0.5130340381025512,1.0,0.678152667808013
3.4213066e-05,0.5137482102137138,1.0,0.6787763028929367
3.4332275e-05,0.5148334639758732,1.0,0.6797228511522487
3.4451485e-05,0.5155526581874301,1.0,0.6803493788230013
3.4570694e-05,0.5163013789887416,1.0,0.6810009972134572
3.4689903e-05,0.5185051380860629,1.0,0.6829152192728373
3.4809113e-05,0.5191511595193119,1.0,0.6834753116552333
